epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.97675,1.72795,3.72429,1.51732,0.00278,0.78125,0.21628,0.13424,1.3193,3.57334,1.16403,0.00026,0.00026,0.00026
2,7.71457,1.54565,2.29173,1.26628,0.00322,0.90625,0.16962,0.08824,1.4553,3.67264,1.22715,0.000537327,0.000537327,0.000537327
3,10.3739,1.58439,2.04862,1.25352,0.003,0.84375,0.14772,0.05444,1.55483,3.86294,1.4427,0.000811882,0.000811882,0.000811882
4,13.0137,1.55964,2.03945,1.30795,0.19957,0.04307,0.03675,0.01151,1.55335,3.88008,1.41672,0.00108366,0.00108366,0.00108366
5,15.6624,1.50962,1.89766,1.32726,0.16802,0.17188,0.10484,0.04451,1.65743,3.4796,1.52977,0.00135268,0.00135268,0.00135268
6,18.2872,1.62553,1.86373,1.32544,0.08065,0.20312,0.04133,0.01827,1.8046,3.49233,1.81572,0.00161892,0.00161892,0.00161892
7,20.8755,1.67419,1.8803,1.35676,0.02863,0.28125,0.02062,0.01,1.73218,6.77333,1.74204,0.00188238,0.00188238,0.00188238
8,23.4868,1.62089,1.73139,1.3925,0.12546,0.29688,0.07981,0.03419,1.73626,3.87671,1.5485,0.0019307,0.0019307,0.0019307
9,26.1442,1.55783,1.65906,1.31414,0.16707,0.4375,0.12026,0.06509,1.57285,4.10454,1.55387,0.0019208,0.0019208,0.0019208
10,28.769,1.51496,1.54481,1.31331,0.62478,0.39062,0.44261,0.22573,1.6249,4.04078,1.63167,0.0019109,0.0019109,0.0019109
11,31.3609,1.52274,1.48325,1.30477,0.85154,0.60938,0.71104,0.39434,1.60373,1.79004,1.52218,0.001901,0.001901,0.001901
12,34.1284,1.52741,1.43863,1.29994,0.65671,0.60938,0.70387,0.37651,1.70582,1.88186,1.57726,0.0018911,0.0018911,0.0018911
13,36.758,1.60873,1.42709,1.35581,0.74305,0.5,0.5754,0.32183,1.53507,3.27498,1.57246,0.0018812,0.0018812,0.0018812
14,39.3568,1.44506,1.28707,1.23469,0.59985,0.4375,0.44592,0.24063,1.6466,3.45256,1.46967,0.0018713,0.0018713,0.0018713
15,41.9388,1.49607,1.27933,1.30267,0.71055,0.38367,0.45359,0.24149,1.78458,2.24272,1.6044,0.0018614,0.0018614,0.0018614
16,44.8721,1.53351,1.22875,1.31954,0.59868,0.70312,0.65965,0.32575,1.70213,1.44325,1.49171,0.0018515,0.0018515,0.0018515
17,47.4572,1.47894,1.28518,1.26493,0.68287,0.625,0.64514,0.2864,1.65597,1.54526,1.59487,0.0018416,0.0018416,0.0018416
18,50.1355,1.44516,1.17654,1.28849,0.72867,0.6875,0.74122,0.36931,1.66153,1.48543,1.52279,0.0018317,0.0018317,0.0018317
19,52.7649,1.47844,1.18321,1.26328,0.75294,0.66671,0.75818,0.3712,1.64869,1.35071,1.45334,0.0018218,0.0018218,0.0018218
20,55.408,1.34463,1.07982,1.23286,0.7222,0.64999,0.68179,0.35608,1.63977,1.38719,1.46549,0.0018119,0.0018119,0.0018119
21,57.9611,1.3986,1.12531,1.23131,0.5475,0.59375,0.53017,0.26987,1.5739,1.63829,1.4168,0.001802,0.001802,0.001802
22,60.545,1.37827,1.086,1.19153,0.73191,0.72525,0.76056,0.4285,1.58751,1.2023,1.41853,0.0017921,0.0017921,0.0017921
23,63.1552,1.53187,1.19823,1.28099,0.66094,0.76149,0.73618,0.38957,1.65491,1.30954,1.48385,0.0017822,0.0017822,0.0017822
24,65.8838,1.4727,1.07607,1.23956,0.70647,0.625,0.65462,0.36737,1.67032,1.31479,1.38768,0.0017723,0.0017723,0.0017723
25,68.5397,1.36592,1.06853,1.24644,0.87458,0.6875,0.7461,0.40414,1.68715,1.2821,1.40846,0.0017624,0.0017624,0.0017624
26,71.1665,1.40102,0.98698,1.23109,0.8379,0.80772,0.78638,0.45359,1.52847,1.1698,1.35866,0.0017525,0.0017525,0.0017525
27,73.7168,1.32124,0.94498,1.202,0.66663,0.73438,0.75965,0.43047,1.55472,1.14319,1.35724,0.0017426,0.0017426,0.0017426
28,76.3802,1.3454,0.99186,1.25704,0.77118,0.70312,0.75783,0.41831,1.66367,1.22746,1.42198,0.0017327,0.0017327,0.0017327
29,78.9472,1.33616,0.96066,1.20781,0.79427,0.71875,0.75466,0.43104,1.65947,1.17492,1.3716,0.0017228,0.0017228,0.0017228
30,81.539,1.31738,0.93245,1.22045,0.72444,0.73945,0.76788,0.37097,1.76875,1.3236,1.43207,0.0017129,0.0017129,0.0017129
31,84.2152,1.31131,0.97022,1.20366,0.81997,0.64049,0.72619,0.36072,1.6927,1.50362,1.42542,0.001703,0.001703,0.001703
32,86.8732,1.31045,0.94346,1.17754,0.79252,0.625,0.71256,0.37661,1.73531,1.19803,1.4227,0.0016931,0.0016931,0.0016931
33,89.4333,1.30808,0.88771,1.18697,0.67134,0.70218,0.71413,0.36492,1.75358,1.41831,1.42687,0.0016832,0.0016832,0.0016832
34,92.081,1.36141,0.88749,1.20104,0.79011,0.70587,0.75834,0.44743,1.62164,1.12446,1.37451,0.0016733,0.0016733,0.0016733
35,94.7455,1.38802,0.97765,1.21816,0.67153,0.73438,0.79791,0.42568,1.65083,1.06211,1.36579,0.0016634,0.0016634,0.0016634
36,97.4774,1.28694,0.90035,1.1872,0.79552,0.72951,0.77442,0.41843,1.64053,1.10141,1.38959,0.0016535,0.0016535,0.0016535
37,100.195,1.29361,0.81995,1.15844,0.75709,0.75,0.77115,0.42592,1.62524,1.08445,1.36878,0.0016436,0.0016436,0.0016436
38,102.882,1.33606,0.89927,1.18289,0.71456,0.74325,0.7573,0.44907,1.52336,1.12926,1.34763,0.0016337,0.0016337,0.0016337
39,105.476,1.26329,0.83967,1.16776,0.81234,0.65625,0.76716,0.39833,1.57832,1.11096,1.45326,0.0016238,0.0016238,0.0016238
40,108.102,1.27789,0.82209,1.1915,0.82851,0.75494,0.81509,0.42449,1.60617,1.06875,1.43477,0.0016139,0.0016139,0.0016139
41,110.673,1.26696,0.83906,1.15251,0.81864,0.70312,0.83072,0.44776,1.53497,0.98422,1.37664,0.001604,0.001604,0.001604
42,113.317,1.29673,0.86694,1.17032,0.74303,0.73438,0.7737,0.43363,1.62885,1.1138,1.46695,0.0015941,0.0015941,0.0015941
43,115.913,1.22896,0.84877,1.16904,0.72139,0.78125,0.7536,0.41678,1.60286,1.2401,1.42396,0.0015842,0.0015842,0.0015842
44,118.521,1.3329,0.84014,1.26011,0.759,0.71875,0.75515,0.41535,1.61747,1.092,1.41417,0.0015743,0.0015743,0.0015743
45,121.117,1.33245,0.85234,1.18683,0.73851,0.6875,0.7836,0.42754,1.56445,1.07402,1.37924,0.0015644,0.0015644,0.0015644
46,124.076,1.24043,0.86454,1.15014,0.78527,0.74289,0.75208,0.38073,1.64399,1.09246,1.41979,0.0015545,0.0015545,0.0015545
47,126.659,1.19527,0.81435,1.1156,0.68548,0.76562,0.7446,0.35723,1.76714,1.25063,1.44333,0.0015446,0.0015446,0.0015446
48,129.334,1.25328,0.87653,1.18585,0.69148,0.76562,0.73642,0.41926,1.52618,1.1074,1.37268,0.0015347,0.0015347,0.0015347
49,132.08,1.16746,0.76905,1.11164,0.82534,0.71875,0.76707,0.42601,1.57366,0.9987,1.37416,0.0015248,0.0015248,0.0015248
50,134.755,1.20344,0.77783,1.14187,0.7797,0.73438,0.72986,0.41782,1.55692,1.05596,1.40287,0.0015149,0.0015149,0.0015149
51,137.344,1.15703,0.75321,1.12911,0.74495,0.73438,0.74314,0.32066,1.93746,1.13526,1.52115,0.001505,0.001505,0.001505
52,139.972,1.17267,0.81395,1.12994,0.77925,0.75,0.75956,0.39405,1.61079,1.12676,1.43589,0.0014951,0.0014951,0.0014951
53,142.598,1.21156,0.77314,1.12156,0.79925,0.62215,0.73007,0.34673,1.84489,1.1985,1.55555,0.0014852,0.0014852,0.0014852
54,145.206,1.19022,0.77967,1.12975,0.78484,0.74101,0.82161,0.39739,1.76488,1.00439,1.58531,0.0014753,0.0014753,0.0014753
55,147.862,1.14107,0.73454,1.10852,0.75132,0.80257,0.78997,0.40598,1.75639,1.02441,1.57072,0.0014654,0.0014654,0.0014654
56,150.504,1.18219,0.75821,1.13642,0.7484,0.83664,0.78682,0.43441,1.55738,1.00937,1.45619,0.0014555,0.0014555,0.0014555
